Count,Instrument 1,Instrument 2,Section,
106,Ghost Note,,Chorus,
e,,,Chorus,
&,Snare Drum,Ghost Note,Chorus,
a,,,Chorus,
107,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,54
a,,,Chorus,
108,Ghost Note,,Chorus,
e,,,Chorus,
&,Snare Drum,Ghost Note,Chorus,
a,,,Chorus,
109,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,55
a,,,Chorus,
110,Ghost Note,,Chorus,
e,,,Chorus,
&,Snare Drum,Ghost Note,Chorus,
a,,,Chorus,
111,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,56
a,,,Chorus,
112,Ghost Note,,Chorus,
e,,,Chorus,
&,Snare Drum,Ghost Note,Chorus,
a,,,Chorus,
113,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,57
a,,,Chorus,
114,Ghost Note,,Chorus,
e,,,Chorus,
&,Snare Drum,Ghost Note,Chorus,
a,,,Chorus,
115,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,58
a,,,Chorus,
116,Ghost Note,,Chorus,
e,,,Chorus,
&,Snare Drum,Ghost Note,Chorus,
a,,,Chorus,
117,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Bass Drum,Ghost Note,Chorus,59
a,,,Chorus,
118,Snare Drum,Tom-tom,Chorus,
e,,,Chorus,
&,Ghost Note,,Chorus,
a,,,Chorus,
119,Bass Drum,Ghost Note,Chorus,
e,,,Chorus,
&,Snare Drum,Tom-tom,Chorus,60
a,,,Chorus,
120,Bass Drum,,Chorus,
e,,,Chorus,
&,Snare Drum,Tom-tom,Chorus,
a,,,Chorus,
121,Bass Drum,,Chorus,
e,,,Chorus,
&,Bass Drum,Tom-tom,,61
a,,,,
122,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
123,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,62
a,,,,
124,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
125,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Tom-tom,,63
a,,,,
126,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
127,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,64
a,,,,
128,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
129,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,65
a,,,,
130,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
131,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,66
a,,,,
132,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
133,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,67
a,,,,
134,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
135,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,68
a,,,,
136,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
137,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,69
a,,,,
138,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
139,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,70
a,,,,
140,Snare Drum,Tom-tom,,
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
141,,,,
e,,,,
&,Bass Drum,Tom-tom,,71
a,,,,
142,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
143,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,72
a,,,,
144,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
145,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,73
a,,,,
146,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
147,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,74
a,,,,
148,Hi-Hat (Open),,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
149,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,75
a,,,,
150,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
151,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,76
a,,,,
152,Hi-Hat (Open),,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
153,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,77
a,,,,
154,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
155,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,78
a,,,,
156,Hi-Hat (Open),,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
157,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,79
a,,,,
158,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
159,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,80
a,,,,
160,Hi-Hat (Open),,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
161,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,81
a,,,,
162,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
163,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,82
a,,,,
164,Hi-Hat (Open),,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
165,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,83
a,,,,
166,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
167,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,84
a,,,,
168,Hi-Hat (Open),,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
169,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,85
a,,,,
170,Snare Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
171,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Tom-tom,,86
a,,,,
172,Bass Drum,,,
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
173,,,,
e,,,,
&,Bass Drum,Ghost Note,,87
a,,,,
174,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
175,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,88
a,,,,
176,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
177,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,89
a,,,,
178,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
179,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,90
a,,,,
180,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
181,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,91
a,,,,
182,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
183,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,92
a,,,,
184,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
185,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,93
a,,,,
186,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
187,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,94
a,,,,
188,Bass Drum,Ghost Note,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
189,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,95
a,,,,
190,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
191,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,96
a,,,,
192,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
193,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,97
a,,,,
194,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
195,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,98
a,,,,
196,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
197,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,99
a,,,,
198,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
199,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,100
a,,,,
200,Ghost Note,,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
201,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,101
a,,,,
202,Snare Drum,Tom-tom,,
e,,,,
&,Ghost Note,,,
a,,,,
203,Bass Drum,Ghost Note,,
e,,,,
&,Snare Drum,Tom-tom,,102
a,,,,
204,Bass Drum,,,
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
205,Bass Drum,,,
e,,,,
&,Bass Drum,Tom-tom,,103
a,,,,
206,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
207,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,104
a,,,,
208,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
209,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Tom-tom,,105
a,,,,
210,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
211,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,106
a,,,,
212,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
213,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,107
a,,,,
214,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
215,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,108
a,,,,
216,Hi-Hat (Open),,,
e,,,,
&,Snare Drum,Hi-Hat (Open),,
a,,,,
217,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,109
a,,,,
