Count,Instrument 1,Instrument 2,Section,
a,,,Chorus,
116,Hi-Hat (Open),,Chorus,
e,,,Chorus,
&,Bass Drum,Hi-Hat (Open),Chorus,
a,,,Chorus,
117,Snare Drum,Hi-Hat (Open),Chorus,59
e,,,Chorus,
&,Bass Drum,Hi-Hat (Open),Chorus,
a,,,Chorus,
118,Bass Drum,Tom-tom,Chorus,
e,,,Chorus,
&,Hi-Hat (Open),,Chorus,
a,,,Chorus,
119,Snare Drum,Hi-Hat (Open),Chorus,60
e,,,Chorus,
&,Bass Drum,Hi-Hat (Open),Chorus,
a,,,Chorus,
120,Bass Drum,Hi-Hat (Open),Chorus,
e,,,Chorus,
&,Hi-Hat (Open),,Chorus,
a,,,Chorus,
121,Snare Drum,Hi-Hat (Open),,61
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
122,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
123,Snare Drum,Hi-Hat (Open),,62
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
124,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
125,Snare Drum,Hi-Hat (Open),,63
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
126,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
127,Snare Drum,Hi-Hat (Open),,64
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
128,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
129,Snare Drum,Tom-tom,,65
e,,,,
&,,,,
a,,,,
130,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
131,Snare Drum,Hi-Hat (Open),,66
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
132,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
133,Snare Drum,Hi-Hat (Open),,67
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
134,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
135,Snare Drum,Hi-Hat (Open),,68
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
136,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
137,Hi-Hat (Open),,,69
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
138,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
139,Snare Drum,Hi-Hat (Open),,70
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
140,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
141,Hi-Hat (Open),,,71
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
142,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
143,Snare Drum,Hi-Hat (Open),,72
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
144,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
145,Hi-Hat (Open),,,73
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
146,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
147,Snare Drum,Hi-Hat (Open),,74
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
148,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
149,Hi-Hat (Open),,,75
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
150,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
151,Snare Drum,Hi-Hat (Open),,76
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
152,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
153,Hi-Hat (Open),,,77
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
154,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
155,Snare Drum,Hi-Hat (Open),,78
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
156,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
157,Hi-Hat (Open),,,79
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
158,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
159,Hi-Hat (Open),,,80
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
160,Snare Drum,Tom-tom,,
e,,,,
&,Bass Drum,,,
a,,,,
161,Snare Drum,Tom-tom,,81
e,,,,
&,,,,
a,,,,
162,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
163,Snare Drum,Ghost Note,,82
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
164,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
165,Snare Drum,Ghost Note,,83
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
166,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
167,Snare Drum,Ghost Note,,84
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
168,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
169,Snare Drum,Ghost Note,,85
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
170,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
